Material,Size,Gripper Force,X Force,Y Force,Z Force,X Torque,Y Torque,Z Torque,Deflection
rubber,0.061,1.12,1.095414286782161,0,0.23338281923382875,-0.005375642334482546,-0.07481188911853756,0.025231314940640005,0.0003728510603985805
rubber,0.047,0.42,-0.34970291693554845,0,0.23261098402003474,-0.004315634568947813,0.017521254113992406,-0.006488042701624753,-0.000569562567909641
rubber,0.042,0.41,-0.33319220137447353,0,0.2389203987591521,-0.00103748385884877,0.016931220077016862,-0.0014468481243779254,0.0005092936349567162
rubber,0.093,3.73,3.6225636005604946,0,0.8887817279254702,0.0009181671270546898,-0.21375294768034617,-0.0037423348266431033,-0.000527943422575882
rubber,0.039,0.28,-0.25975079291621195,0,0.10454437134250319,0.0016378082835652895,0.008237672892310402,0.004069296078189395,0.00048620469158751
rubber,0.064,1.28,-0.8346086947537367,0,0.970478400914448,-0.0005268795949353259,0.04189320883054448,-0.0004531149694903047,0.0009812772924308738
rubber,0.057,0.8,-0.7228772808231344,0,0.3427075092112097,0.006809074769490252,0.021533113512890955,0.014362467474434685,-0.00019140900471947185
rubber,0.074,1.89,-1.3374574878492564,0,1.3354053572589695,-0.01930220512544072,0.045351197864028435,-0.019331867014531243,1.863585845457843e-05
rubber,0.048,0.44,0.37017223557208934,0,0.23784977614360198,-0.004137478068285019,-0.014685496631700625,0.006439272430691139,0.0004750220584228473
rubber,0.057,0.83,0.567867675679947,0,0.6053315644486537,-0.0031223457959360943,-0.051363281232751835,0.002929104236324162,-0.00044614606331305203
rubber,0.04,0.32,0.25605034213753053,0,0.19193285881071426,0.0005705147912047551,-0.007308352622025666,-0.0007611021290865318,0.0009900130735306797
rubber,0.044,0.43,0.39235026251328986,0,0.17595815271180956,-0.0037884453723033354,-0.02966122108981244,0.008447449086232144,0.00032755991627311624
rubber,0.075,2.02,0.34463124129191697,0,1.990384211032029,0.0020307995707315872,0.006912546251489082,-0.0003516290839713945,-0.0008985138760821288
rubber,0.054,0.83,-0.05072181542176142,0,0.8284487295182006,0.018798774754524763,0.01103504603026252,0.0011509559364148018,-0.00028437877893580833
rubber,0.056,0.84,-0.6966035228367257,0,0.46940763944727537,0.005032599459560131,0.02815727199238637,0.007468405321830212,0.0009417940598230667
rubber,0.043,0.33,0.26472649178269075,0,0.19702762382069416,0.002561497839694848,-0.009291581812223483,-0.003441630790961895,-0.0008885464816450115
rubber,0.057,0.89,0.7846073524332959,0,0.4201086794004781,0.0032095954400292457,-0.022433696344282737,-0.00599433504724792,-0.0009687509980315835
rubber,0.039,0.38,0.17947292640461265,0,0.3349469639924573,0.006623805083085157,-0.005562760779534465,-0.0035491997539700403,0.0007039268061491644
rubber,0.041,0.33,-0.13139104129793025,0,0.3027150380583125,-0.003225780819549875,-0.001304101700541285,-0.0014001243664607905,-0.00019770284336525053
rubber,0.063,1.07,-0.8935376813877763,0,0.5886343618411662,0.014163943098261425,0.03927968583679819,0.021500642327000167,-0.0006824619097494228
rubber,0.078,2.15,2.1480846528307866,0,0.09073215677386547,0.0020575357458570954,-0.11189573541316909,-0.048712177859299405,-0.00024190839041666765
rubber,0.074,1.83,-1.684974195538566,0,0.7139761623255798,-0.00995101041981898,0.10020603794468508,-0.023484251522229917,-3.117619842260442e-05
rubber,0.063,1.22,0.7356486858373354,0,0.9732527991358675,0.0020721150912885408,-0.06537694839859665,-0.0015662413148603996,-0.0009768280404786475
rubber,0.093,3.66,-1.434804616397885,0,3.367036636682666,-0.06143631040645861,0.0903224166911799,-0.026180024543032036,9.782024451276745e-05
rubber,0.032,0.26,0.1536381643011377,0,0.20975060064318438,-0.002826143534892164,-0.011189738223038868,0.00207009421389454,-0.00015754472904499052
rubber,0.041,0.42,-0.010450122534831565,0,0.4198699738478652,-0.003678823279086458,-0.004339596043894018,-9.15620464548249e-05,0.00018522830862773845
rubber,0.061,1.09,-0.29729458855179447,0,1.0486734132311257,-0.020755518328744806,0.02900403361515771,-0.005884103862909175,-0.00015425111380574532
